date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:20	13712/13712	---M--	200	added ('OK')	text/html	etag:%22b4f8262ef1e0f3de09ce4bcf2213b484%22	https://www.arweave.org/robots.txt		(from )
22:57:21	13712/13712	---M--	200	added ('OK')	text/html	etag:%22b4f8262ef1e0f3de09ce4bcf2213b484%22	https://www.arweave.org/	www.arweave.org/index.html	(from )
22:57:21	6053/6053	---M--	200	added ('OK')	image/png	etag:%22aab3a6910d131b7903bb04e837a1f70a%22	https://www.arweave.org/favicon-183x183.png	www.arweave.org/favicon-183x183.png	(from https://www.arweave.org/)
22:57:23	116200/116200	---M--	200	added ('OK')	text/css	etag:%22b234146d4667fb592eadefe3a94c5dfb%22	https://www.arweave.org/_next/static/css/styles.45c59fcd.chunk.css	www.arweave.org/_next/static/css/styles.45c59fcd.chunk.css	(from https://www.arweave.org/)
22:57:24	125735/125735	---M--	200	added ('OK')	application/javascript	etag:%22f1b8f6ff76a398ac98e56db71287cea9%22	https://www.arweave.org/_next/static/i7Xj6GfF5r_58-L4nmTsx/pages/index.js	www.arweave.org/_next/static/i7Xj6GfF5r_58-L4nmTsx/pages/index.js	(from https://www.arweave.org/)
22:57:24	5568/5568	---M--	200	added ('OK')	application/javascript	etag:%2287954fa6032f04293f172c95ed2c43b8%22	https://www.arweave.org/_next/static/i7Xj6GfF5r_58-L4nmTsx/pages/_app.js	www.arweave.org/_next/static/i7Xj6GfF5r_58-L4nmTsx/pages/_app.js	(from https://www.arweave.org/)
22:57:25	1531/1531	---M--	200	added ('OK')	application/javascript	etag:%2240b4095b5b68a142c856f388ccb756f2%22	https://www.arweave.org/_next/static/runtime/webpack-4b444dab214c6491079c.js	www.arweave.org/_next/static/runtime/webpack-4b444dab214c6491079c.js	(from https://www.arweave.org/)
22:57:27	129836/129836	---M--	200	added ('OK')	application/javascript	etag:%22bfb4edf278496d3e79aef41637033d0e%22	https://www.arweave.org/_next/static/chunks/framework.74d547792b3163b4d6d2.js	www.arweave.org/_next/static/chunks/framework.74d547792b3163b4d6d2.js	(from https://www.arweave.org/)
22:57:27	71131/71131	---M--	200	added ('OK')	application/javascript	etag:%22a669fa8654329b87dd702e3b5edd4fcd%22	https://www.arweave.org/_next/static/chunks/commons.e1b69cf0a3cc0939da95.js	www.arweave.org/_next/static/chunks/commons.e1b69cf0a3cc0939da95.js	(from https://www.arweave.org/)
22:57:28	158/158	---M--	200	added ('OK')	application/javascript	etag:%22634e7e40a072de695979b08421ef9eb3%22	https://www.arweave.org/_next/static/chunks/styles.bc31dfa577ab08b57ec7.js	www.arweave.org/_next/static/chunks/styles.bc31dfa577ab08b57ec7.js	(from https://www.arweave.org/)
